Common Name,CrowdStrike,IRL,Kaspersky,Secureworks,Mandiant,FireEye,Symantec,iSight,Cisco (Sourcefire/VRT > Talos),Palo Alto Unit 42,Other Names,Operation 1,Operation 2,Operation 3,Operation 4,Toolset / Malware,Targets,Modus Operandi,Overlaps to,Comment
Stone Panda,Stone Panda,,,,APT 10,,,MenuPass Team,,menuPass,"Red Apollo, CVNX, POTASSIUM, Cloud Hopper, Hogfish",menuPass,Dust Storm,Cloud Hopper,ChessMaster,"Poison Ivy, EvilGrab, IEChecker, ChChes, PlugX, RedLeaves, Quasar","Healthcare; Pharma, Defense, Aerospace, Government, MSP, ","Data exfil over common TCP services (RDP, HTTPS)","Compromise & Persistence: BUGJUICE, SOGU, SNUGRIDE",Profile slide 13 & 14
Nightshade Panda,Nightshade Panda,,,,APT 9,,,,,,,,,,,"Poison Ivy, PlugX",,,,
APT 26,,,,,APT 26,,,Hippo Team,,,JerseyMikes,,,,,,,,,
Goblin Panda,Goblin Panda,,Cycldek,,,,,,,,Cycldek,,,,,"ZeGhost, PlugX","Southeast Asia, Government of Vietnam",,,
Night Dragon,Night Dragon,,,,,,,,,,,Night Dragon,,,,,"A threat actor compromised U.S. oil companies through spear phishing and remote administration tools. Oil, Energy and Petrochemical (OpNightDragon)",,,
Mirage,Vixen Panda,Ke3Chang,,GREF,APT 15,Playful Dragon,,Social Network Team,,,"Mirage Team, Lurid, Social Network Team, Royal APT, Metushy",Umbrella Revolution,,,,"Mirage, (Nvidia program side-loading) PlugX, XSLCmd, TidePool, BS2005, RoyalCli",,,,Some vendors track this group in up to 3 separate groups
Anchor Panda,Anchor Panda,,,,,,,,,,,,,,,"Adobe Gh0st, Poison Ivy, Torn RAT","This threat actor targets government and private sector entities interested in maritime issues in the South China Sea for espionage purposes. Maritime satellite systems, aerospace companies, and defense contractors.",,,“PdPD” (50 64 50 44) marker for encrypted binaries
NetTraveler,,,NetTraveler,,APT 21,,,,,,,,,,,NetTraveler,This threat actor targets computer networks associated with Tibetan and Uighur activists for espionage purposes.,,,
Ice Fog,Dagger Panda,,IceFog,,,,,,,,,,,,,"Dagger Three (C2 software), Fucobha Backdoor","This threat actor targets government institutions, military contractors, maritime and shipbuilding groups, telecommunications operators, and others, primarily in Japan and South Korea.",,Links to Onion Dog,
Beijing Group,Sneaky Panda,,,,,,,,,,"Hydraq, SIG22, Elderwood, Elderwood Gang",Aurora,,,,"Hydraq, Elderwood Project","This threat actor targets private sector companies in the defense, shipping, aeronautics, arms, and energy sectors, as well as nonprofits and financial firms.",,,"Possibly assisted in Operation Aurora, the RSA incident, and the Joint Strike Fighter Program compromise"
APT 22,,,,,,,,,,,,,,,,China Chopper,,,,
Suckfly,,,,,,,,,,,,,,,,"Nidiran, Korplug, PlugX",Indian organisations and Republic of Korea,,,
?,,,,,,,,,,,,Four Element Sword,,,,"UP007, SLServer, Grabber, T9000, Kivars, PlugX, Gh0StRAT, Agent.XST","Tibetans, Hong Kong, Taiwanese interests and human rights workers, Uyghur Interests",Active,IXESHE (see PWC report),
?,,,,,,,,,,,,INOCNATION,,,,,,,"IXESHE (malware), Etumbot, Numbered Panda",
Pirate Panda,Pirate Panda,,,,,,,,,,KeyBoys,,,,,,,Southeast Asia,,
Radio Panda,Radio Panda,,,,,,,,,,,,,,,,,,,
APT 4,Samurai Panda,PLA Navy,,,APT 4,APT 4,,Wisp Team,,,,,,,,,,,,“PdPD” (50 64 50 44) marker for encrypted binaries
Impersonating Panda,Impersonating Panda,,,,,,,,,,,,,,,,Financial sector,,,
Violin Panda,Violin Panda,,,,APT 8,APT 20,,,,,Covert Grove,Nitro Attacks,th3bug,,,"Poison Ivy, CAKELOG, CANDYCLOG, COOKIECLOG, CETTRA","Energy, Chemical Industry, Healthcare and Pharma",,,Listed slide 12
Toxic Panda,Toxic Panda,,,,,,,,,,,,,,,,Dissident Groups,,,Listed slide 4
Temper Panda,Temper Panda,Admin338,Team338,,,admin@338,,338 Team,,,,Umbrella Revolution,admin@338,,,"Poison Ivy, jRat, LOWBALL, BUBBLEWRAP","Target Gov + Military, DIB, Finiancial/Think Tanks",,,“PdPD” (50 64 50 44) marker for encrypted binaries
Keyhole Panda,Keyhole Panda,,,,,,,temp.bottle,,,,,,,,,Electronics & Communications,,,Listed slide 4
Test Panda,Test Panda,,,,,,,,,,,,,,,,,,,Listed slide 8
Pitty Tiger,Pitty Panda,,,,,Pitty Tiger,,,,,,,,,,"PittyTiger, Paladin RAT",,,,
Gibberish Panda,Gibberish Panda,,,,,,,,,,,,,,,,,,,Listed slide 8
Foxy Panda,Foxy Panda,,,,,,,,,,,,,,,,Technology & Communications,,,Listed slide 4
Wet Panda,Wet Panda,,,,,,,,,,,,,,,PlugX,Energy ,,,Mentioned in 2014 Global Threat Report using PlugX (pg 22)
Union Panda,Union Panda,,,,,,,,,,,,,,,,Industrial companies,,,Listed slide 4
Karma Panda,Karma Panda,,,,,,,,,,,,,,,,Dissident groups,,,Listed slide 4
Poisonous Panda,Poisonous Panda,,,,,,,,,,,,,,,,"Energy technology, G20, NGOs, Dissident Groups",,,Listed slide 4
Predator Panda,Predator Panda,,,,,,,,,,,,,,,PlugX,Southeast Asia,,,Mentioned pg 22 & 42
?,,,,,,,,,,,,Poisoned Helmand,,,,,Afghan Government,Watering Hole,Operation Poisoned Hurricane,
?,,,,,,,,,,,,Titan Rain,,,,,USA,,,
?,Maverick Panda,PLA Navy,,,,,,,,,,"Sykipot, Getkys, Wyksol",,,,,DIB (Defence Industrial Base) and other government organizations,,,
Scarlet Mimic,,,,,,,,,,Scarlet Mimic,,,,,,"FakeM, Psylo, MobileOrder",Uyghur and Tibetan activists as well as those who are interested in their causes,,,
C0d0so,Codoso,,,,APT 19,Sunshop Group,,,,,,Bassos Campaign,,,,"Bergard Trojan, Derusbi, TXER","Forbes,  Defense, Finance, Energy, Government, Political Dissidents, Global Think Tanks",Watering Hole,,
SVCMONDR,,,,,,,,,,,,,,,,CVE-2015-2545,"Taiwan, Thailand",,Tamper Panda,“PdPD” (50 64 50 44) marker for encrypted binaries
Big Panda,,,,,,,,,,,,,,,,,Financial services firms,,,Mentioned by Alperovitch in 2013 article as targeting financial services industry
Electric Panda,,,,,,,,,,,,,,,,,,,,Listed on slide 8
Eloquent Panda,,,,,,,,,,,,,,,,,,,,Mentioned slide 15
Pale Panda,,,,,,,,,,,,,,,,PlugX,,,,Mentioned in 2014 Crowdstrike Global Threat Intel Report pg 22
Sabre Panda,,,,,,,,,,,,,,,,,Umbrella Revolution,,,Listed in 2014 Global Threat Report (pg 9) - observed in Umbrella Revolution related activity (pg 28)
Spicy Panda,,,,,,,,,,,,,,,,,,,,Listed in 2014 Global Threat Report - no more details pg 9
Hammer Panda,,,,,,,,,,,,,,,,,Russia,,,
Wisp Team,,,,,APT 4,,,Wisp Team,,,,,,,,,"Defense Industrial Base, US Government",,,"iSight has mentioned tracking a China-nexus group they dub ""Wisp Team"" - have not resolved this w/ other naming conventions"
Mana Team,,,,,,,,Mana Team,,,,,,,,,Australia,,,"iSight has mentioned tracking a China-nexus activity they dub ""Mana Team"", targeting Australian interests - have not resolved this w/ other naming conventions"
TEMP.Zhenbao,,,,,,,,TEMP.Zhenbao,,,,,,,,,,,,
SPIVY,,,,,,,,,,,,,,,,,Hong Kong dissidents,,,
Mofang,,,,,,,,,,,,,,,,"ShimRAT, ShimRATReporter","Government, military, Critical Infrastructure,Automotive Industry*,Weapon Industry*, This threat actor compromises government and critical infrastructure entities, primarily in Myanmar, for espionage purposes. Myanmar, Canada, United States, Germany, India, South Korea, Singapore",,Superman,
PassCV,,,,,,,,,,,,,,,,"Sabre, Kitkiot",Gaming Companies,,Winnti,
DragonOK,,,,,,DragonOK,,,,DragonOK,,,,,,"CVE-2015-1641, Sysget, IsSpace, Rambo Backdoor",Japan,,,
Group 27,,,,,,,,,Group 27,,,Seven Pointed Dagger,,,,"Trochilus RAT, PlugX, EvilGrab, 3102 variant of 9002 RAT",,,,
Tonto Team,,,,,,Tonto Team,,,,,,,,,,,,,,
TA459,,,,,,,,,,,,,,,,"PlugX, NetTraveler, ZeroT, PCrat, Gh0st","Central Asian countries, Russia, Belarus, Mongolia, and others",,,
Tick,,,,BRONZE BUTLER,,,Tick,,,,REDBALDKNIGHT,,,,,"whoami, procdump, VBS, WCE, Mimikatz, gsecdump, PsExec, Daserf, Gofarer, Datper",,,,
Lucky Cat,,,,,,,,,,,"Shadow Network, SabPub",,,,,,"A threat actor targets computer networks associated with Tibetan activists, as well as military research and development, aerospace, engineering, and shipping industries in India and Japan.",,,
TEMP.Periscope,Leviathan,,,,,,,,,,,,,,,"AIRBREAK, BADFLICK, PHOTO, HOMEFRY, LUNCHMONEY, MURKYTOP, China Chopper, Beacon, BLACKCOFFEE, CVE-2017-11882","maritime-related targets across multiple verticals, including engineering firms, shipping and transportation, manufacturing, defense, government offices, and research universities",,,
BARIUM,,,,,,,,,,,,,,,,Winnti malware,,,,
LEAD,,,,,,,,,,,,,,,,Winnti malware,,,,
Thrip,,,,,,,,,,,,,,,,,"satellite communications operator, Telecoms, and Defense Companies",,,Overlaps with other Chinese APT groups
